[2025-07-12 20:00:32] [INFO    ] discord.client: logging in using static token
[2025-07-12 20:00:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Xibao_good_dog', 'primary_guild': None, 'mfa_enabled': False, 'id': '1393716492427857940', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9884', 'clan': None, 'bot': True, 'avatar': 'c8fe751e663137685bc3f2e23fad22d2'}, 'session_type': 'normal', 'session_id': '4da7de6c6af65503675f83431fa6cb2b', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1393006258646159582'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-east', 'atlanta', 'newark', 'us-central', 'us-south'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1393716492427857940', 'flags': 565248}, '_trace': ['["gateway-prd-us-east1-d-ln3d",{"micros":980211,"calls":["id_created",{"micros":518,"calls":[]},"session_lookup_time",{"micros":336,"calls":[]},"session_lookup_finished",{"micros":19,"calls":[]},"discord-sessions-prd-2-42",{"micros":978974,"calls":["start_session",{"micros":972622,"calls":["discord-api-rpc-6b8c679576-22dfs",{"micros":818642,"calls":["get_user",{"micros":22708},"get_guilds",{"micros":104254},"send_scheduled_deletion_message",{"micros":18},"guild_join_requests",{"micros":1117},"authorized_ip_coro",{"micros":13},"pending_payments",{"micros":9917},"apex_experiments",{"micros":4108},"user_activities",{"micros":5},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":56,"calls":[]},"presence_started",{"micros":273,"calls":[]},"guilds_started",{"micros":66,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":5932,"calls":[]},"connect_finished",{"micros":5938,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-07-12 20:00:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 20:00:35] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 4da7de6c6af65503675f83431fa6cb2b).
[2025-07-12 20:00:35] [DEBUG   ] discord.client: Dispatching event connect
[2025-07-12 20:00:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'latest_onboarding_question_id': None, 'public_updates_channel_id': None, 'roles': [{'version': 1752188972982, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1393006258646159582', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752359601551, 'unicode_emoji': None, 'tags': {'bot_id': '1393716492427857940'}, 'position': 1, 'permissions': '8', 'name': 'Xibao', 'mentionable': False, 'managed': True, 'id': '1393721926937215079', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'max_video_channel_users': 25, 'premium_subscription_count': 0, 'premium_tier': 0, 'profile': None, 'nsfw_level': 0, 'afk_timeout': 300, 'moderator_reporting': None, 'member_count': 7, 'guild_scheduled_events': [], 'application_id': None, 'splash': None, 'discovery_splash': None, 'id': '1393006258646159582', 'system_channel_id': '1393006259153932481', 'unavailable': False, 'name': "pzt's study room", 'soundboard_sounds': [], 'presences': [], 'afk_channel_id': None, 'mfa_level': 0, 'threads': [], 'icon': 'a4989fe9792fdbe21503b94464c569d8', 'incidents_data': None, 'region': 'deprecated', 'large': False, 'description': None, 'channels': [{'version': 1752188972989, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1393006259153932480', 'flags': 0}, {'version': 1752188972996, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1393006259153932480', 'name': 'general', 'last_message_id': '1393743558359650417', 'id': '1393006259153932481', 'flags': 0}, {'version': 1752188972999, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '1393006259153932480', 'name': 'clips-and-highlights', 'last_message_id': None, 'id': '1393006259153932482', 'flags': 0}, {'version': 1752188973007, 'type': 4, 'position': 3, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1393006259153932483', 'flags': 0}, {'version': 1752188973013, 'user_limit': 0, 'type': 2, 'status': None, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '1393006259153932483', 'name': 'Lobby', 'last_message_id': None, 'id': '1393006259153932484', 'flags': 0, 'bitrate': 64000}, {'version': 1752188973016, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1393006259153932483', 'name': 'Gaming', 'last_message_id': None, 'id': '1393006259153932485', 'flags': 0, 'bitrate': 64000}], 'features': [], 'premium_progress_bar_enabled': False, 'system_channel_flags': 0, 'banner': None, 'lazy': True, 'embedded_activities': [], 'explicit_content_filter': 0, 'voice_states': [{'user_id': '544696083704709130', 'suppress': False, 'session_id': '62de2e7283462f35ababc31649f88ded', 'self_video': False, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'discoverable': True, 'deaf': False, 'channel_id': '1393006259153932484'}, {'user_id': '746893367497195541', 'suppress': False, 'session_id': '1006a47543abafb4c6e00333af881058', 'self_video': False, 'self_stream': True, 'self_mute': False, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'discoverable': True, 'deaf': False, 'channel_id': '1393006259153932484'}], 'members': [{'user': {'username': 'panzerton_birdsong', 'public_flags': 0, 'primary_guild': None, 'id': '746893367497195541', 'global_name': 'Zetong Pan', 'display_name': 'Zetong Pan', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '4bfc67b1b4a523f1d188323bd3048f75'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-10T23:09:32.898000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'eric_psi', 'public_flags': 0, 'primary_guild': None, 'id': '544696083704709130', 'global_name': 'pepsi', 'display_name': 'pepsi', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'bccdf9631c276d1351d22082fbe1582a'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-12T20:48:24.510659+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Xibao_good_dog', 'public_flags': 0, 'primary_guild': None, 'id': '1393716492427857940', 'global_name': None, 'display_name': None, 'discriminator': '9884', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c8fe751e663137685bc3f2e23fad22d2'}, 'roles': ['1393721926937215079'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-12T22:33:21.569531+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'eric_psi', 'public_flags': 0, 'primary_guild': None, 'id': '544696083704709130', 'global_name': 'pepsi', 'display_name': 'pepsi', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'bccdf9631c276d1351d22082fbe1582a'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-12T20:48:24.510659+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'panzerton_birdsong', 'public_flags': 0, 'primary_guild': None, 'id': '746893367497195541', 'global_name': 'Zetong Pan', 'display_name': 'Zetong Pan', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '4bfc67b1b4a523f1d188323bd3048f75'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-10T23:09:32.898000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'vanity_url_code': None, 'inventory_settings': None, 'emojis': [], 'home_header': None, 'joined_at': '2025-07-12T22:33:21.569531+00:00', 'premium_features': None, 'activity_instances': [], 'hub_type': None, 'owner_id': '746893367497195541', 'rules_channel_id': None, 'safety_alerts_channel_id': None, 'application_command_counts': {}, 'stage_instances': [], 'max_stage_video_channel_users': 50, 'nsfw': False, 'version': 1752193202821, 'stickers': [], 'owner_configured_content_level': 0, 'default_message_notifications': 0, 'verification_level': 0, 'max_members': 2500000, 'preferred_locale': 'en-US'}}
[2025-07-12 20:00:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 20:00:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '62edaed081baeef500bdfecbfcb0bc30', 'members': [{'user': {'username': 'caresless', 'public_flags': 0, 'primary_guild': None, 'id': '263874054350438402', 'global_name': '( . _ . )', 'display_name': '( . _ . )', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '70ee25323e0f09504bb098053f7018c1'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-10T23:20:00.337000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'bugubird.', 'public_flags': 0, 'primary_guild': None, 'id': '499088320736002050', 'global_name': 'bugubird', 'display_name': 'bugubird', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '0f1ec6664463487b584e462bb54c05af'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-12T23:49:19.288629+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'eric_psi', 'public_flags': 0, 'primary_guild': None, 'id': '544696083704709130', 'global_name': 'pepsi', 'display_name': 'pepsi', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'bccdf9631c276d1351d22082fbe1582a'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-12T20:48:24.510659+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'panzerton_birdsong', 'public_flags': 0, 'primary_guild': None, 'id': '746893367497195541', 'global_name': 'Zetong Pan', 'display_name': 'Zetong Pan', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '4bfc67b1b4a523f1d188323bd3048f75'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-10T23:09:32.898000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'fandralbao', 'public_flags': 0, 'primary_guild': None, 'id': '881150305650237461', 'global_name': 'fandralbao', 'display_name': 'fandralbao', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'cef5797ddc22264c466f16221ee79b24'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-12T22:57:43.979036+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'victoria_13256', 'public_flags': 0, 'primary_guild': None, 'id': '1316857520496709703', 'global_name': 'Victoria', 'display_name': 'Victoria', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': None}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-10T23:24:58.191000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Xibao_good_dog', 'public_flags': 0, 'primary_guild': None, 'id': '1393716492427857940', 'global_name': None, 'display_name': None, 'discriminator': '9884', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'c8fe751e663137685bc3f2e23fad22d2'}, 'roles': ['1393721926937215079'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-12T22:33:21.569531+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1393006258646159582', 'chunk_index': 0, 'chunk_count': 1}}
[2025-07-12 20:00:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 20:00:35] [DEBUG   ] discord.state: Processed a chunk for 7 members in guild ID 1393006258646159582.
[2025-07-12 20:00:37] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-07-12 20:00:37] [DEBUG   ] discord.client: Dispatching event ready
[2025-07-12 20:01:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '544696083704709130', 'timestamp': 1752364869, 'member': {'user': {'username': 'eric_psi', 'public_flags': 0, 'primary_guild': None, 'id': '544696083704709130', 'global_name': 'pepsi', 'display_name': 'pepsi', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'bccdf9631c276d1351d22082fbe1582a'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-12T20:48:24.510659+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1393006259153932481', 'guild_id': '1393006258646159582'}}
[2025-07-12 20:01:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 20:01:09] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-12 20:01:09] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-07-12 20:01:12] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-13T00:01:12.315000+00:00', 'pinned': False, 'nonce': '1393744033850851328', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-12T20:48:24.510659+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1393744034408693911', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '\\\\123', 'components': [], 'channel_type': 0, 'channel_id': '1393006259153932481', 'author': {'username': 'eric_psi', 'public_flags': 0, 'primary_guild': None, 'id': '544696083704709130', 'global_name': 'pepsi', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': 'bccdf9631c276d1351d22082fbe1582a'}, 'attachments': [], 'guild_id': '1393006258646159582'}}
[2025-07-12 20:01:12] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-12 20:01:12] [DEBUG   ] discord.client: Dispatching event message
[2025-07-12 20:01:12] [DEBUG   ] discord.client: Dispatching event command_error
[2025-07-12 20:01:12] [ERROR   ] discord.ext.commands.bot: Ignoring exception in command None
discord.ext.commands.errors.CommandNotFound: Command "\123" is not found
[2025-07-12 20:01:15] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-07-12 20:01:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-12 20:01:56] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-07-12 20:01:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-07-12 20:02:37] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-07-12 20:02:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
